Year,Company,Revenue,Net_Income,EPS,Debt_Equity_Ratio,ROE,ROA,EBITDA,Net_Profit_Margin,Operating_Cash_Flow,Market_Cap_B_USD
2019,MCD,21364.4,6025.4,7.88,-4.1627,-73.3883,12.6822,10687.7,28.203,8122.1,159.89
2018,MCD,21257.9,5924.3,7.54,-4.9654,-94.6616,18.0557,10304.6,27.8687,6966.7,148.82
2017,MCD,22820.4,5192.3,6.37,-9.0381,-158.8832,15.3602,10916.1,22.7529,5551.2,136.89
2016,MCD,24621.9,4686.5,5.44,-11.775,-212.6069,15.1061,9261.002,19.0339,6059.6,137.21
2015,MCD,25413,4529.3,4.8,3.4033,63.9019,11.9385,8701.2,17.8228,6539.1,101.08
2014,MCD,27441.3,4757.8,4.82,1.162,37.0159,13.9006,9593.701,17.3381,6730.3,108.48
2013,MCD,28105.7,5585.9,5.55,0.8826,34.8907,15.2511,10349.4,19.8746,7120.7,91.19
2012,MCD,27567,5464.8,5.36,0.8914,35.7326,15.4432,10093.1,19.8237,6966.1,96.55
2011,MCD,27006,5503.1,5.27,0.8687,38.242,16.6812,9944.701,20.3773,7150.1,88.56
2010,MCD,24074.6,4946.3,4.58,0.7862,33.7996,15.4692,8749.3,20.5457,6341.6,102.66
2009,MCD,22744.7,4551,4.11,0.7538,32.4286,15.0571,8057.2,20.0091,5751,81.1
2022,BCS,30868.08,6212.949,1.4744,7.1602,8.624,0.3946,1,21.162,37392.72,32.53
2021,BCS,30169.69,8766.263,2.0131,6.3396,10.2918,0.522,1,28.2167,67268.52,43.6
2020,BCS,27947.54,1959.384,0.4416,6.0327,3.6796,0.1824,1,9.0147,73836.42,34.66
2019,BCS,27621.9,4180.571,0.72,5.3348,5.1081,0.2942,1,16.6024,-15699.49,40.78
2018,BCS,28212.33,1860.711,0.4912,5.8975,3.7191,0.2093,1,7.0877,11351.14,31.68
2017,BCS,27162.75,-2477.073,-0.573,5.2797,1.9707,0.1148,1,-10.2561,78244.34,45.79
2016,BCS,29072.54,2373.13,0.5584,3.5002,3.1346,0.1844,1,9.1781,15295.92,46.21
2015,BCS,38919.16,-495.396,-0.1162,3.6646,0.9459,0.0556,1,-1.3882,24659.71,53.45
2014,BCS,41677.15,-197.7716,-0.046,5.0612,1.2811,0.0622,1,-0.519,-17207.81,60.47
2013,BCS,43712.69,846.5568,0.232,6.6208,2.0282,0.0988,1,2.1758,-39392.27,55.49
2012,BCS,46036.06,-1650.089,-0.539,7.688,-0.3749,-0.0158,1,-4.0909,-21741.23,52.82
2011,BCS,48866.82,6338.98,1.54,7.6045,4.6122,0.1923,1,12.2352,46654.34,33.47
2010,BCS,49030.07,7034.11,1.84,9.3328,6.0555,0.2531,1,14.4688,28894.16,47.13
2009,BCS,45992.04,5497.87,5.12,8.5152,19.5283,0.8282,1,12.0558,65523.51,36.84
2023,NVDA,26974,4368,1.74,0.4956,19.7638,10.6066,5768,16.1934,5641,1000.35
2022,NVDA,26914,9752,3.85,0.4113,36.6451,22.0698,11215,36.2339,9108,359.5
2021,NVDA,16675,4332,1.73,0.4122,25.6438,15.0464,5630,25.979,5822,735.86
2020,NVDA,10918,2796,1.13,0.1631,22.9105,16.1479,3227,25.6091,4761,323.24
2019,NVDA,11716,4141,1.6575,0.2128,44.3267,31.1541,4066,35.3448,3743,144
2018,NVDA,9714,3047,1.205,0.2677,40.7844,27.1061,3409,31.3671,3502,81.44
2017,NVDA,6910,1666,0.6425,0.4877,28.9136,16.9292,2121,24.11,1672,117.26
2016,NVDA,5010,614,0.27,0.3379,13.7391,8.3311,973,12.2555,1175,57.53
2015,NVDA,4682,631,0.28,0.3164,14.2825,8.7627,1007,13.4772,906,17.73
2014,NVDA,4130,440,0.185,0.3083,9.8734,6.0682,740,10.6538,835,10.9
2013,NVDA,4280.159,562.536,0.225,0.0039,11.6523,8.7728,874.4742,13.1429,824.172,9.11
2012,NVDA,3997.93,581.09,0.235,0.0052,14.0166,10.4646,852.5038,14.5348,909.156,7.66
2011,NVDA,3543.309,253.146,0.1075,0.0074,7.9569,5.6314,442.7361,7.1443,675.797,8.46
2010,NVDA,3326.445,-67.987,-0.03,0.0092,-2.551,-1.8959,97.7189,-2.0438,487.807,8.95
2009,NVDA,3424.859,-30.041,-0.0125,0.0107,-1.2545,-0.8966,114.3228,-0.8771,249.36,10.37
2022,INTC,63054,8014,1.94,0.4071,7.7619,4.4025,15369,12.7097,15433,109.08
2021,INTC,79024,19868,4.86,0.3994,20.828,11.7977,31248,25.1417,29456,209.45
